timestamp,ecg_measurement
250900000,5.66875
250904000,5.6475
250908000,5.63375
250912000,5.615
250916000,5.59625
250920000,5.58375
250924000,5.5775
250928000,5.57125
250932000,5.5775
250936000,5.5675
250940000,5.555
250944000,5.555
250948000,5.5575
250952000,5.55625
250956000,5.555
250960000,5.55625
250964000,5.56
250968000,5.56125
250972000,5.55875
250976000,5.5625
250980000,5.5725
250984000,5.5775
250988000,5.58375
250992000,5.58625
250996000,5.59125
251000000,5.59125
251004000,5.59125
251008000,5.59125
251012000,5.59875
251016000,5.605
251020000,5.60125
251024000,5.595
251028000,5.60375
251032000,5.61
251036000,5.6175
251040000,5.62125
251044000,5.62625
251048000,5.62625
251052000,5.62125
251056000,5.61875
251060000,5.63
251064000,5.6325
251068000,5.63125
251072000,5.63375
251076000,5.64125
251080000,5.64375
251084000,5.64625
251088000,5.64875
251092000,5.64625
251096000,5.64125
251100000,5.635
251104000,5.62875
251108000,5.625
251112000,5.62625
251116000,5.62
251120000,5.62875
251124000,5.62875
251128000,5.63625
251132000,5.6375
251136000,5.63375
251140000,5.62125
251144000,5.6175
251148000,5.6175
251152000,5.615
251156000,5.59875
251160000,5.585
251164000,5.58625
251168000,5.5875
251172000,5.5825
251176000,5.5725
251180000,5.56375
251184000,5.5575
251188000,5.5525
251192000,5.555
251196000,5.54875
251200000,5.5475
251204000,5.54875
251208000,5.55625
251212000,5.55375
251216000,5.54375
251220000,5.5325
251224000,5.5275
251228000,5.5375
251232000,5.55
251236000,5.55875
251240000,5.55125
251244000,5.54375
251248000,5.54125
251252000,5.54125
251256000,5.54125
251260000,5.54125
251264000,5.5475
251268000,5.5525
251272000,5.55375
251276000,5.55
251280000,5.5475
251284000,5.545
251288000,5.55
251292000,5.5525
251296000,5.55
251300000,5.5475
251304000,5.5475
251308000,5.55
251312000,5.55
251316000,5.55125
251320000,5.55625
251324000,5.55375
251328000,5.55375
251332000,5.55
251336000,5.5475
251340000,5.53625
251344000,5.5275
251348000,5.53375
251352000,5.5425
251356000,5.54625
251360000,5.54375
251364000,5.53875
251368000,5.53875
251372000,5.53375
251376000,5.53
251380000,5.53
251384000,5.52875
251388000,5.52375
251392000,5.5275
251396000,5.52375
251400000,5.5275
251404000,5.52875
251408000,5.53
251412000,5.5275
251416000,5.53125
251420000,5.53625
251424000,5.53875
251428000,5.53375
251432000,5.53
251436000,5.52625
251440000,5.52625
251444000,5.54
251448000,5.5525
251452000,5.55
251456000,5.54375
251460000,5.55
251464000,5.56125
251468000,5.56875
251472000,5.57875
251476000,5.5725
251480000,5.5775
251484000,5.5775
251488000,5.57625
251492000,5.57375
251496000,5.56375
251500000,5.555
251504000,5.545
251508000,5.5425
251512000,5.53375
251516000,5.52375
251520000,5.51125
251524000,5.50875
251528000,5.51125
251532000,5.515
